preferred_ai,preferred_ai_reason,learning_better_ai,speed_better_ai,comfort_similar,development_complementary,clarity_similar,quality_complementary,hybrid_ideal,blockchain_view_change,ai_learning_rating,would_recommend,hardest_task,ai_potential,suggestions,blockchain_education_view,participant_uuid
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,8,8,7,"Hayır, zaten bilgim vardı",8,Kısmen,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_036
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,7,8,9,"Hayır, zaten bilgim vardı",10,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_037
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,7,7,9,"Evet, artık blockchain daha anlaşılır",8,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_038
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,7,"Hayır, zaten bilgim vardı",10,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_039
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,8,7,9,"Kısmen, bazı konular netleşti",10,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_040
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,7,7,8,"Evet, artık blockchain daha anlaşılır",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_041
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,8,"Hayır, zaten bilgim vardı",8,Kısmen,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_042
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,8,8,"Hayır, zaten bilgim vardı",8,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_043
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_044
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,8,8,7,"Kısmen, bazı konular netleşti",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_045
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,7,7,9,"Kısmen, bazı konular netleşti",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_046
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,8,7,"Kısmen, bazı konular netleşti",8,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_047
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,8,8,"Evet, artık blockchain daha anlaşılır",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_048
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,8,8,9,"Kısmen, bazı konular netleşti",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_049
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,8,7,8,"Kısmen, bazı konular netleşti",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_050
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,8,7,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_051
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,7,"Kısmen, bazı konular netleşti",10,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_052
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,9,"Hayır, zaten bilgim vardı",10,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_053
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,8,8,"Evet, artık blockchain daha anlaşılır",8,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_054
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,8,8,"Hayır, zaten bilgim vardı",10,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_055
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,8,7,8,"Hayır, zaten bilgim vardı",8,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_056
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,8,9,"Hayır, zaten bilgim vardı",7,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_057
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,7,8,8,"Hayır, zaten bilgim vardı",7,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_058
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,9,7,8,"Evet, artık blockchain daha anlaşılır",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_059
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,7,7,"Evet, artık blockchain daha anlaşılır",7,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_060
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,7,9,"Hayır, zaten bilgim vardı",8,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_061
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,8,8,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_062
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,7,9,"Evet, artık blockchain daha anlaşılır",9,Kısmen,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_063
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,8,7,8,"Hayır, zaten bilgim vardı",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_064
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,7,8,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_065
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,8,8,7,"Kısmen, bazı konular netleşti",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_066
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,7,8,9,"Kısmen, bazı konular netleşti",9,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_067
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,7,8,9,"Hayır, zaten bilgim vardı",9,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_068
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,8,8,"Kısmen, bazı konular netleşti",8,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_069
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,7,"Kısmen, bazı konular netleşti",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_070
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,9,"Evet, artık blockchain daha anlaşılır",8,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_071
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,7,8,8,"Evet, artık blockchain daha anlaşılır",10,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_072
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,7,8,7,"Kısmen, bazı konular netleşti",10,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_073
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,8,7,8,"Hayır, zaten bilgim vardı",7,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_074
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,9,"Hayır, zaten bilgim vardı",7,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_075
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,9,7,9,"Kısmen, bazı konular netleşti",7,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_076
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,8,8,8,"Kısmen, bazı konular netleşti",7,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_077
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,7,7,"Kısmen, bazı konular netleşti",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_078
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,8,"Kısmen, bazı konular netleşti",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_079
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,9,8,7,"Evet, artık blockchain daha anlaşılır",10,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_080
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,8,7,7,"Evet, artık blockchain daha anlaşılır",9,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_081
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,8,7,"Evet, artık blockchain daha anlaşılır",8,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_082
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,8,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_083
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,8,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_084
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,7,8,8,"Kısmen, bazı konular netleşti",10,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_085
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,8,7,9,"Hayır, zaten bilgim vardı",9,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_086
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,8,7,"Evet, artık blockchain daha anlaşılır",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_087
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,8,8,9,"Hayır, zaten bilgim vardı",8,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_088
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,9,8,9,"Evet, artık blockchain daha anlaşılır",9,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_089
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,7,9,"Hayır, zaten bilgim vardı",7,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_090
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,8,9,"Evet, artık blockchain daha anlaşılır",10,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_091
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,7,9,"Evet, artık blockchain daha anlaşılır",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_092
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,7,7,"Hayır, zaten bilgim vardı",9,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_093
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,9,7,7,"Hayır, zaten bilgim vardı",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_094
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,8,"Kısmen, bazı konular netleşti",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_095
