security_score,gas_optimization_score,code_quality_score,maintainability_score,production_readiness,auto_security_score,auto_gas_score,auto_complexity_score,code_id
7,7,6,9,9,65.0,66.0,100.0,114
7,6,7,6,8,68.0,59.0,100.0,115
7,4,8,8,6,67.0,41.0,100.0,116
7,8,10,7,7,67.0,85.0,100.0,117
6,6,8,7,7,60.0,58.0,97.0,118
6,4,6,8,6,55.0,43.0,98.0,119
5,10,8,7,7,55.0,98.0,100.0,120
10,6,9,6,8,97.0,65.0,100.0,121
6,10,8,7,9,65.0,100.0,100.0,122
8,3,6,7,7,75.0,33.0,100.0,123
7,4,8,6,7,75.0,44.0,98.0,124
8,7,7,6,7,85.0,65.0,92.0,125
7,4,5,8,6,70.0,38.0,100.0,126
8,5,7,7,8,78.0,55.0,97.0,127
7,5,9,6,6,68.0,54.0,100.0,128
9,7,9,6,8,93.0,72.0,100.0,129
7,8,6,7,9,71.0,81.0,96.0,130
6,9,10,9,9,59.0,90.0,90.0,131
4,5,5,6,6,37.0,50.0,97.0,132
8,6,7,6,7,82.0,57.0,87.0,133
7,7,7,6,6,74.0,68.0,70.0,134
6,5,6,7,6,59.0,54.0,85.0,135
5,7,6,6,6,49.0,71.0,70.0,136
9,10,6,5,6,94.0,96.0,82.0,137
8,10,7,6,5,82.0,100.0,87.0,138
6,7,7,7,8,58.0,74.0,92.0,139
6,8,8,8,8,58.0,84.0,100.0,140
8,8,8,9,9,79.0,80.0,100.0,141
9,8,7,6,8,91.0,84.0,96.0,142
7,6,7,6,7,73.0,58.0,94.0,143
4,8,8,6,6,39.0,81.0,100.0,144
7,7,8,7,6,74.0,69.0,91.0,145
9,4,7,8,8,91.0,37.0,90.0,146
6,7,10,7,8,57.0,68.0,100.0,147
4,2,8,6,6,37.0,17.0,90.0,148
7,5,5,6,7,74.0,52.0,100.0,149
10,4,5,7,7,100.0,35.0,100.0,150
4,9,7,7,7,44.0,89.0,90.0,151
8,7,8,7,9,84.0,74.0,99.0,152
7,9,6,10,8,68.0,94.0,91.0,153
7,5,8,7,7,72.0,55.0,93.0,154
6,2,4,9,7,62.0,17.0,100.0,155
5,6,7,9,8,52.0,58.0,100.0,156
7,2,7,7,6,67.0,19.0,93.0,157
10,8,6,6,7,100.0,77.0,100.0,158
7,5,8,7,6,66.0,52.0,93.0,159
9,5,9,6,8,95.0,46.0,100.0,160
10,7,6,8,7,98.0,68.0,100.0,161
8,5,7,7,6,78.0,53.0,100.0,162
8,4,7,8,6,77.0,43.0,98.0,163
6,9,5,6,6,64.0,89.0,100.0,164
10,5,9,7,6,97.0,54.0,94.0,165
8,3,9,7,7,85.0,30.0,100.0,166
8,7,6,7,9,79.0,69.0,96.0,167
8,6,8,7,8,81.0,60.0,91.0,168
4,9,6,5,7,45.0,86.0,81.0,169
7,4,9,6,5,73.0,45.0,79.0,170
9,8,6,7,5,89.0,76.0,84.0,171
7,7,9,6,5,74.0,65.0,74.0,172
7,6,8,5,7,69.0,60.0,83.0,173
7,3,8,5,7,65.0,33.0,75.0,174
9,4,8,5,6,94.0,37.0,90.0,175
6,7,8,6,7,61.0,72.0,73.0,176
10,6,7,7,5,100.0,60.0,86.0,177
8,4,10,7,5,80.0,40.0,78.0,178
7,7,8,5,7,75.0,65.0,79.0,179
6,8,9,7,7,55.0,77.0,81.0,180
6,7,7,7,6,61.0,74.0,97.0,181
10,5,5,7,7,95.0,49.0,100.0,182
10,8,6,9,9,97.0,78.0,95.0,183
2,10,5,8,8,20.0,100.0,100.0,184
9,7,8,8,6,95.0,67.0,93.0,185
7,6,6,8,8,66.0,61.0,100.0,186
7,9,8,7,7,67.0,93.0,100.0,187
5,6,8,6,7,46.0,62.0,93.0,188
6,7,4,6,6,61.0,71.0,100.0,189
7,9,7,8,6,65.0,86.0,91.0,190
7,6,6,6,8,75.0,59.0,95.0,191
4,5,6,7,8,44.0,45.0,100.0,192
5,10,5,7,5,49.0,99.0,71.0,193
6,6,7,7,7,63.0,57.0,88.0,194
6,4,7,6,5,56.0,37.0,76.0,195
10,5,8,7,7,100.0,46.0,86.0,196
6,4,6,7,8,58.0,39.0,74.0,197
7,3,8,6,5,72.0,32.0,83.0,198
10,7,6,6,7,98.0,69.0,95.0,199
8,5,7,6,7,85.0,48.0,100.0,200
5,9,9,9,9,54.0,85.0,90.0,201
9,7,10,7,7,94.0,69.0,100.0,202
7,6,8,6,8,67.0,56.0,100.0,203
3,7,5,8,9,29.0,74.0,90.0,204
7,6,8,6,7,70.0,64.0,95.0,205
5,8,7,8,6,45.0,83.0,93.0,206
7,6,9,9,7,71.0,63.0,90.0,207
9,7,7,8,6,95.0,68.0,100.0,208
6,6,7,7,7,62.0,63.0,100.0,209
7,3,5,6,8,75.0,30.0,100.0,210
6,9,7,8,7,56.0,94.0,100.0,211
6,7,7,7,7,61.0,70.0,100.0,212
8,3,3,6,8,85.0,33.0,99.0,213
5,3,8,8,7,48.0,26.0,100.0,214
6,7,5,6,7,59.0,69.0,100.0,215
7,4,9,7,7,73.0,37.0,100.0,216
6,10,5,6,8,65.0,100.0,100.0,217
5,8,6,8,8,48.0,82.0,100.0,218
10,5,8,8,6,99.0,47.0,95.0,219
7,5,8,9,8,66.0,52.0,90.0,220
6,7,5,6,7,59.0,74.0,98.0,221
5,7,9,7,6,52.0,74.0,100.0,222
6,6,9,5,7,61.0,56.0,78.0,223
6,8,7,7,7,62.0,82.0,81.0,224
8,8,6,7,7,80.0,79.0,77.0,225
10,4,7,5,6,100.0,41.0,73.0,226
8,5,7,6,5,78.0,47.0,71.0,227
8,8,8,8,8,80.0,84.0,88.0,228
6,7,9,7,6,55.0,75.0,94.0,229
7,10,8,7,7,75.0,99.0,94.0,230
9,8,7,8,9,87.0,80.0,98.0,231
6,7,10,8,8,63.0,75.0,92.0,232
9,5,7,7,6,88.0,48.0,100.0,233
6,7,6,9,7,64.0,65.0,94.0,234
7,8,5,6,6,69.0,81.0,100.0,235
6,10,6,7,6,57.0,100.0,100.0,236
10,9,9,8,6,100.0,85.0,92.0,237
5,6,7,8,8,51.0,57.0,92.0,238
7,9,5,6,8,75.0,86.0,97.0,239
7,6,9,7,7,68.0,61.0,99.0,240
6,4,6,9,7,63.0,41.0,100.0,241
6,4,7,8,8,58.0,38.0,100.0,242
6,3,8,6,7,61.0,26.0,99.0,243
7,10,10,7,6,66.0,100.0,100.0,244
5,7,8,8,8,55.0,67.0,90.0,245
5,5,7,6,7,45.0,46.0,92.0,246
7,5,3,7,7,70.0,54.0,100.0,247
7,7,4,6,8,70.0,65.0,100.0,248
7,4,8,7,6,72.0,45.0,100.0,249
5,5,7,7,8,51.0,55.0,100.0,250
7,8,7,6,7,65.0,83.0,100.0,251
5,1,8,7,8,51.0,9.0,95.0,252
7,5,7,8,7,75.0,51.0,97.0,253
6,4,7,9,9,62.0,39.0,93.0,254
6,3,8,9,8,55.0,27.0,100.0,255
7,5,6,7,7,67.0,49.0,96.0,256
8,5,10,9,9,83.0,54.0,95.0,257
7,8,8,8,10,70.0,84.0,99.0,258
5,7,10,8,7,53.0,72.0,90.0,259
7,7,5,8,7,65.0,71.0,100.0,260
9,10,8,7,6,85.0,100.0,95.0,261
7,6,7,6,7,65.0,57.0,100.0,262
9,6,4,7,8,85.0,61.0,100.0,263
5,5,8,8,6,46.0,45.0,100.0,264
10,6,9,8,8,100.0,56.0,91.0,265
7,6,6,7,8,73.0,55.0,95.0,266
6,7,7,7,8,59.0,73.0,93.0,267
8,4,7,6,8,79.0,37.0,98.0,268
8,7,8,6,8,82.0,67.0,100.0,269
7,6,8,6,7,67.0,65.0,100.0,270
3,8,6,5,6,33.0,80.0,89.0,271
8,5,8,6,5,77.0,51.0,81.0,272
5,8,6,6,6,45.0,80.0,81.0,273
6,6,7,5,5,55.0,64.0,83.0,274
5,4,9,6,5,49.0,36.0,86.0,275
7,9,6,6,8,66.0,86.0,76.0,276
2,8,6,8,8,24.0,85.0,100.0,277
6,8,10,9,8,60.0,76.0,92.0,278
7,3,7,8,8,65.0,28.0,100.0,279
7,7,7,8,7,73.0,67.0,100.0,280
5,4,6,6,7,50.0,39.0,95.0,281
4,6,5,7,8,35.0,62.0,94.0,282
7,9,4,8,7,66.0,92.0,100.0,283
7,5,6,7,8,68.0,45.0,100.0,284
10,6,6,8,6,100.0,64.0,100.0,285
7,7,4,6,8,65.0,75.0,100.0,286
10,8,7,8,8,100.0,84.0,91.0,287
6,4,7,7,8,63.0,45.0,99.0,288
5,9,7,6,7,46.0,85.0,100.0,289
8,7,6,7,7,76.0,66.0,100.0,290
7,6,7,8,6,71.0,59.0,100.0,291
7,4,9,8,7,66.0,37.0,100.0,292
6,10,5,7,8,56.0,100.0,96.0,293
9,6,7,7,8,85.0,62.0,100.0,294
9,3,9,6,6,88.0,30.0,100.0,295
5,6,7,8,9,45.0,62.0,97.0,296
6,6,4,9,9,65.0,55.0,94.0,297
4,5,7,7,6,35.0,54.0,100.0,298
6,6,8,7,8,60.0,65.0,90.0,299
7,6,7,7,8,70.0,64.0,94.0,300
9,7,7,8,6,89.0,74.0,100.0,301
5,7,10,6,6,46.0,72.0,90.0,302
3,5,6,7,8,29.0,51.0,100.0,303
3,8,5,9,9,34.0,80.0,100.0,304
2,6,9,9,8,20.0,58.0,97.0,305
6,6,10,7,8,58.0,56.0,100.0,306
7,6,7,8,8,74.0,55.0,100.0,307
7,6,9,8,9,65.0,56.0,91.0,308
5,5,6,8,7,50.0,51.0,91.0,309
9,7,7,9,9,90.0,68.0,100.0,310
8,6,7,7,8,75.0,59.0,98.0,311
8,1,8,9,10,75.0,6.0,100.0,312
5,7,5,7,8,53.0,70.0,92.0,313
8,7,8,8,6,84.0,68.0,100.0,314
8,8,9,6,8,78.0,80.0,100.0,315
7,5,7,7,8,71.0,50.0,92.0,316
5,6,4,7,7,46.0,61.0,98.0,317
8,8,4,8,7,81.0,79.0,100.0,318
6,2,8,9,8,57.0,16.0,96.0,319
9,4,2,8,10,88.0,36.0,100.0,320
7,5,8,7,7,75.0,46.0,100.0,321
9,10,8,9,9,88.0,100.0,100.0,322
5,6,6,8,8,48.0,60.0,100.0,323
7,6,6,7,8,70.0,61.0,96.0,324
4,5,6,8,8,43.0,53.0,97.0,325
8,6,8,6,7,84.0,62.0,100.0,326
2,6,9,8,6,21.0,57.0,90.0,327
7,7,6,8,8,70.0,73.0,100.0,328
6,5,7,7,8,55.0,48.0,98.0,329
6,4,6,6,6,55.0,38.0,96.0,330
8,4,9,6,7,80.0,37.0,90.0,331
4,8,8,7,8,45.0,83.0,93.0,332
5,9,6,8,6,49.0,86.0,95.0,333
6,6,7,8,7,62.0,56.0,97.0,334
6,4,3,6,8,61.0,37.0,100.0,335
7,6,7,8,8,65.0,60.0,93.0,336
7,6,8,7,7,71.0,57.0,100.0,337
7,9,5,6,7,67.0,90.0,94.0,338
7,7,7,8,9,67.0,71.0,94.0,339
7,3,7,8,8,75.0,26.0,100.0,340
4,5,6,6,8,45.0,50.0,98.0,341
5,7,8,9,9,48.0,73.0,100.0,342
6,7,9,9,7,59.0,69.0,100.0,343
5,10,4,8,7,49.0,100.0,91.0,344
6,6,7,6,7,64.0,56.0,93.0,345
4,6,6,7,6,43.0,60.0,100.0,346
10,4,7,8,8,98.0,37.0,100.0,347
6,7,10,8,7,61.0,69.0,100.0,348
9,7,6,6,7,94.0,70.0,99.0,349
8,5,6,7,8,77.0,54.0,100.0,350
10,6,6,9,7,100.0,63.0,92.0,351
6,9,9,6,6,58.0,88.0,100.0,352
5,8,4,7,7,54.0,79.0,100.0,353
7,4,6,6,6,68.0,39.0,100.0,354
10,6,6,8,7,100.0,61.0,100.0,355
6,9,5,9,10,60.0,92.0,99.0,356
8,6,3,9,9,78.0,65.0,98.0,357
9,4,8,7,9,92.0,44.0,100.0,358
6,6,8,9,9,60.0,63.0,100.0,359
5,4,8,8,9,48.0,41.0,91.0,360
9,4,6,7,9,92.0,35.0,91.0,361
6,9,10,8,10,57.0,91.0,91.0,362
5,7,8,8,9,54.0,68.0,94.0,363
9,4,6,9,8,95.0,35.0,96.0,364
8,6,8,9,8,83.0,59.0,92.0,365
7,7,8,9,7,74.0,73.0,100.0,366
7,8,8,8,7,68.0,79.0,94.0,367
5,6,8,8,7,55.0,62.0,100.0,368
4,6,8,7,9,42.0,58.0,100.0,369
7,5,8,8,9,71.0,55.0,90.0,370
3,8,6,8,7,30.0,80.0,100.0,371
9,7,8,8,9,86.0,68.0,92.0,372
4,7,5,7,8,43.0,70.0,92.0,373
6,9,6,7,7,57.0,86.0,100.0,374
6,5,7,8,6,63.0,51.0,95.0,375
6,4,6,7,6,57.0,39.0,100.0,376
7,6,7,8,6,70.0,56.0,94.0,377
8,8,4,6,7,78.0,80.0,94.0,378
5,4,7,6,5,50.0,43.0,71.0,379
6,6,10,6,5,57.0,57.0,89.0,380
8,4,8,7,5,76.0,37.0,85.0,381
9,7,8,8,7,92.0,67.0,84.0,382
9,9,7,6,6,94.0,93.0,79.0,383
8,6,9,8,8,81.0,59.0,89.0,384
7,6,7,9,9,74.0,60.0,100.0,385
10,9,5,9,8,100.0,88.0,94.0,386
7,6,6,8,8,70.0,57.0,99.0,387
7,5,8,9,9,67.0,52.0,90.0,388
8,7,7,9,8,83.0,65.0,100.0,389
8,8,6,10,9,81.0,80.0,94.0,390
5,4,7,8,9,53.0,38.0,100.0,391
4,8,6,10,9,43.0,85.0,99.0,392
6,8,6,10,9,62.0,80.0,100.0,393
7,5,6,7,8,75.0,47.0,94.0,394
6,6,8,9,8,58.0,61.0,100.0,395
6,5,5,9,8,64.0,50.0,96.0,396
8,7,8,8,9,81.0,65.0,99.0,397
7,2,7,8,7,66.0,15.0,100.0,398
7,6,8,8,8,70.0,56.0,100.0,399
10,4,8,9,8,100.0,41.0,100.0,400
6,6,9,8,9,60.0,63.0,100.0,401
5,4,7,9,9,45.0,45.0,100.0,402
9,10,4,7,7,95.0,100.0,90.0,403
5,7,3,9,7,49.0,69.0,100.0,404
5,6,6,7,8,55.0,60.0,100.0,405
5,8,8,7,9,51.0,76.0,100.0,406
6,6,10,8,7,56.0,59.0,97.0,407
7,10,8,8,9,74.0,100.0,91.0,408
4,6,6,7,7,42.0,57.0,84.0,409
7,6,8,5,5,67.0,57.0,89.0,410
9,5,4,8,8,90.0,53.0,78.0,411
6,6,6,6,7,65.0,65.0,87.0,412
8,4,7,7,6,85.0,45.0,75.0,413
5,6,8,7,7,54.0,57.0,85.0,414
7,5,9,9,8,73.0,50.0,94.0,415
7,7,7,7,8,65.0,65.0,92.0,416
7,8,5,8,7,73.0,84.0,90.0,417
5,5,5,9,8,54.0,51.0,90.0,418
7,8,6,8,10,74.0,78.0,100.0,419
6,8,5,8,8,55.0,78.0,92.0,420
8,4,8,7,7,75.0,41.0,74.0,421
8,7,6,7,8,81.0,67.0,86.0,422
5,3,8,7,7,52.0,30.0,76.0,423
8,6,6,5,5,83.0,59.0,71.0,424
8,3,8,5,5,76.0,34.0,82.0,425
7,6,8,7,7,74.0,63.0,87.0,426
7,8,10,8,7,70.0,80.0,93.0,427
7,6,6,8,8,67.0,59.0,100.0,428
8,4,8,8,9,78.0,39.0,91.0,429
6,7,10,7,9,56.0,69.0,100.0,430
10,6,9,7,7,99.0,61.0,92.0,431
9,10,8,9,8,93.0,100.0,100.0,432
9,8,8,9,9,85.0,82.0,100.0,433
2,6,7,9,7,20.0,56.0,99.0,434
10,9,6,7,7,97.0,90.0,95.0,435
7,5,5,7,7,74.0,50.0,90.0,436
8,5,7,9,8,81.0,47.0,98.0,437
6,6,7,7,8,59.0,63.0,100.0,438
6,6,7,10,8,55.0,61.0,96.0,439
5,4,6,7,9,54.0,36.0,97.0,440
6,7,8,9,9,65.0,69.0,100.0,441
7,5,8,9,9,75.0,48.0,100.0,442
7,10,8,7,9,66.0,98.0,99.0,443
7,5,8,8,9,72.0,54.0,96.0,444
10,8,8,7,7,95.0,82.0,76.0,445
6,8,7,6,6,55.0,85.0,84.0,446
9,6,9,5,7,87.0,59.0,86.0,447
10,6,7,5,7,97.0,63.0,77.0,448
10,6,7,7,6,100.0,57.0,78.0,449
7,4,6,6,6,73.0,37.0,89.0,450
5,7,9,8,6,55.0,72.0,91.0,451
9,7,6,7,9,88.0,71.0,96.0,452
7,6,6,7,8,65.0,61.0,99.0,453
6,7,4,6,8,56.0,70.0,97.0,454
5,5,7,9,7,53.0,45.0,100.0,455
6,7,3,7,7,56.0,73.0,94.0,456
7,2,8,10,8,70.0,25.0,90.0,457
3,10,7,9,7,26.0,97.0,96.0,458
6,7,5,8,7,58.0,68.0,100.0,459
6,9,6,9,8,65.0,89.0,100.0,460
8,10,7,9,8,77.0,100.0,100.0,461
5,8,7,9,8,50.0,75.0,100.0,462
10,8,8,7,9,98.0,84.0,100.0,463
8,9,6,8,8,82.0,94.0,99.0,464
8,5,8,7,7,78.0,52.0,97.0,465
7,1,7,7,7,72.0,6.0,100.0,466
8,9,5,7,7,77.0,95.0,92.0,467
9,4,6,9,8,85.0,42.0,100.0,468
7,5,4,6,6,70.0,45.0,100.0,469
4,10,8,6,8,41.0,100.0,100.0,470
8,7,7,9,9,75.0,71.0,100.0,471
4,4,7,7,6,37.0,40.0,100.0,472
9,7,7,7,8,94.0,75.0,100.0,473
7,4,8,7,6,65.0,38.0,100.0,474
8,4,8,9,8,77.0,40.0,100.0,475
7,9,5,8,9,66.0,86.0,100.0,476
4,1,6,9,9,43.0,13.0,100.0,477
6,8,4,7,7,57.0,78.0,100.0,478
6,6,3,8,8,62.0,60.0,98.0,479
7,7,6,8,9,68.0,74.0,100.0,480
6,7,8,6,7,56.0,67.0,91.0,481
7,9,5,8,9,68.0,90.0,100.0,482
10,5,6,6,7,98.0,52.0,98.0,483
7,6,7,6,7,71.0,56.0,94.0,484
10,6,7,7,6,96.0,56.0,99.0,485
7,9,6,7,6,66.0,88.0,100.0,486
9,7,4,8,8,89.0,65.0,97.0,487
7,9,4,6,6,73.0,85.0,93.0,488
7,7,6,6,8,65.0,71.0,100.0,489
6,7,6,6,8,55.0,70.0,96.0,490
5,7,5,6,6,45.0,72.0,100.0,491
5,6,7,8,6,48.0,62.0,100.0,492
9,9,6,8,8,86.0,92.0,90.0,493
6,8,4,8,8,60.0,82.0,92.0,494
7,6,4,9,8,66.0,60.0,100.0,495
8,4,8,8,7,79.0,42.0,100.0,496
7,5,8,10,10,66.0,51.0,90.0,497
7,5,8,8,9,65.0,47.0,100.0,498
4,7,9,7,8,41.0,74.0,99.0,499
6,5,5,7,8,60.0,48.0,100.0,500
7,6,5,8,8,71.0,55.0,100.0,501
5,5,5,6,6,51.0,55.0,100.0,502
8,7,5,7,8,79.0,73.0,100.0,503
5,8,8,7,9,52.0,80.0,97.0,504
4,3,8,7,7,38.0,33.0,100.0,505
7,7,7,6,8,75.0,66.0,100.0,506
5,8,8,6,8,52.0,83.0,100.0,507
10,9,8,8,7,99.0,87.0,98.0,508
5,8,5,8,8,51.0,76.0,91.0,509
7,4,6,7,7,71.0,44.0,100.0,510
5,10,5,10,10,54.0,100.0,100.0,511
7,8,7,9,9,68.0,77.0,90.0,512
6,8,8,7,7,56.0,83.0,100.0,513
8,7,8,9,7,77.0,70.0,100.0,514
5,5,9,9,8,52.0,48.0,92.0,515
5,9,8,8,7,54.0,87.0,96.0,516
6,5,8,8,7,65.0,47.0,92.0,517
9,7,7,7,8,95.0,69.0,100.0,518
3,8,5,7,7,26.0,76.0,100.0,519
6,6,9,7,8,60.0,64.0,100.0,520
5,4,10,8,9,54.0,45.0,100.0,521
7,5,7,10,10,66.0,48.0,100.0,522
10,6,5,7,7,95.0,58.0,95.0,523
6,7,7,6,8,61.0,75.0,91.0,524
7,5,5,7,8,65.0,48.0,97.0,525
7,5,5,6,8,74.0,55.0,95.0,526
10,7,9,7,6,100.0,73.0,100.0,527
8,10,8,7,8,79.0,100.0,98.0,528
6,9,8,7,7,64.0,86.0,100.0,529
7,6,6,6,7,72.0,55.0,100.0,530
8,4,5,8,6,78.0,44.0,100.0,531
5,10,6,9,9,54.0,96.0,100.0,532
7,4,9,8,7,75.0,43.0,100.0,533
6,4,8,6,7,58.0,39.0,94.0,534
9,5,6,6,8,92.0,48.0,93.0,535
4,5,7,7,6,45.0,47.0,100.0,536
8,9,10,6,6,77.0,92.0,95.0,537
7,6,8,8,8,75.0,62.0,97.0,538
6,10,6,7,6,62.0,100.0,92.0,539
6,6,8,7,7,62.0,58.0,100.0,540
7,7,4,7,8,70.0,68.0,100.0,541
7,8,8,8,8,66.0,80.0,92.0,542
10,8,8,6,8,95.0,76.0,100.0,543
7,5,7,7,7,74.0,53.0,100.0,544
6,5,6,6,7,55.0,50.0,100.0,545
6,5,2,8,7,55.0,51.0,97.0,546
10,10,7,8,8,98.0,99.0,98.0,547
6,7,6,9,7,64.0,75.0,100.0,548
7,4,6,6,7,69.0,44.0,100.0,549
9,9,7,7,8,90.0,93.0,99.0,550
5,5,9,6,8,52.0,54.0,100.0,551
6,6,8,6,6,57.0,63.0,100.0,552
6,6,9,7,6,58.0,55.0,76.0,553
6,4,8,6,6,61.0,36.0,89.0,554
9,5,10,5,5,87.0,46.0,72.0,555
5,7,9,5,5,52.0,71.0,78.0,556
5,9,6,7,7,52.0,93.0,89.0,557
3,4,9,6,6,32.0,40.0,75.0,558
8,5,7,9,7,78.0,55.0,100.0,559
8,4,9,9,10,83.0,35.0,100.0,560
5,6,6,9,8,47.0,57.0,92.0,561
3,6,8,9,7,26.0,63.0,90.0,562
7,5,3,8,9,67.0,55.0,100.0,563
7,8,7,7,8,73.0,79.0,93.0,564
4,7,6,9,9,45.0,68.0,100.0,565
10,9,10,8,6,100.0,90.0,97.0,566
5,5,9,7,8,50.0,55.0,100.0,567
10,3,9,7,6,96.0,25.0,95.0,568
7,6,6,6,7,70.0,55.0,91.0,569
8,5,6,8,7,77.0,51.0,100.0,570
6,7,8,9,8,60.0,74.0,97.0,571
9,8,5,8,7,92.0,77.0,100.0,572
10,4,6,7,9,100.0,35.0,100.0,573
8,5,7,6,7,83.0,53.0,90.0,574
6,7,7,7,6,56.0,72.0,99.0,575
5,6,6,6,7,47.0,64.0,100.0,576
7,7,8,6,6,72.0,74.0,100.0,577
7,2,7,8,6,68.0,23.0,100.0,578
