session_id,participant_uuid,task_number,task_name,assigned_ai_type,assigned_persona,status,duration_minutes,started_at,completed_at
13,participant_003,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,49,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
14,participant_003,2,Voting System - Basit oylama mekanizması,Complementary,Ali - Facilitator,Completed,38,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
15,participant_003,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,39,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
16,participant_003,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,49,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
17,participant_003,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,41,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
18,participant_003,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,53,2025-11-09T11:18:36.683218,2025-11-09T11:18:36.683218
19,participant_004,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Deniz - DApp Architect,Completed,52,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
20,participant_004,2,Voting System - Basit oylama mekanizması,Complementary,Burak - Blockchain Specialist,Completed,41,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
21,participant_004,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Burak - Blockchain Specialist,Completed,37,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
22,participant_004,4,NFT Minting - ERC721 benzeri NFT,Similar,Deniz - DApp Architect,Completed,40,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
23,participant_004,5,Staking Contract - Token stake etme,Similar,Deniz - DApp Architect,Completed,51,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
24,participant_004,6,Auction System - Açık artırma sistemi,Complementary,Burak - Blockchain Specialist,Completed,45,2025-11-08T11:18:36.683329,2025-11-08T11:18:36.683329
25,participant_005,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Can - Gas Optimizer,Completed,49,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
26,participant_005,2,Voting System - Basit oylama mekanizması,Complementary,Burak - Blockchain Specialist,Completed,47,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
27,participant_005,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Can - Gas Optimizer,Completed,42,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
28,participant_005,4,NFT Minting - ERC721 benzeri NFT,Complementary,Burak - Blockchain Specialist,Completed,43,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
29,participant_005,5,Staking Contract - Token stake etme,Similar,Can - Gas Optimizer,Completed,42,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
30,participant_005,6,Auction System - Açık artırma sistemi,Complementary,Burak - Blockchain Specialist,Completed,44,2025-09-05T11:18:36.683438,2025-09-05T11:18:36.683438
31,participant_006,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,54,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
32,participant_006,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,42,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
33,participant_006,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,51,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
34,participant_006,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,48,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
35,participant_006,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,36,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
36,participant_006,6,Auction System - Açık artırma sistemi,Complementary,Ali - Facilitator,Completed,47,2025-08-12T11:18:36.683547,2025-08-12T11:18:36.683547
37,participant_007,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Ali - Facilitator,Completed,48,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
38,participant_007,2,Voting System - Basit oylama mekanizması,Complementary,Ali - Facilitator,Completed,51,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
39,participant_007,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Prof. Mehmet - Academic,Completed,37,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
40,participant_007,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,55,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
41,participant_007,5,Staking Contract - Token stake etme,Similar,Prof. Mehmet - Academic,Completed,55,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
42,participant_007,6,Auction System - Açık artırma sistemi,Complementary,Ali - Facilitator,Completed,49,2025-09-02T11:18:36.683652,2025-09-02T11:18:36.683652
43,participant_008,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Burak - Blockchain Specialist,Completed,49,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
44,participant_008,2,Voting System - Basit oylama mekanizması,Complementary,Burak - Blockchain Specialist,Completed,42,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
45,participant_008,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Burak - Blockchain Specialist,Completed,39,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
46,participant_008,4,NFT Minting - ERC721 benzeri NFT,Similar,Deniz - DApp Architect,Completed,37,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
47,participant_008,5,Staking Contract - Token stake etme,Similar,Deniz - DApp Architect,Completed,54,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
48,participant_008,6,Auction System - Açık artırma sistemi,Similar,Deniz - DApp Architect,Completed,54,2025-10-22T11:18:36.683762,2025-10-22T11:18:36.683762
49,participant_009,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Dr. Ayşe - Beginner Friendly,Completed,48,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
50,participant_009,2,Voting System - Basit oylama mekanizması,Complementary,Öğretmen Zeynep - Practical,Completed,55,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
51,participant_009,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Dr. Ayşe - Beginner Friendly,Completed,39,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
52,participant_009,4,NFT Minting - ERC721 benzeri NFT,Similar,Dr. Ayşe - Beginner Friendly,Completed,36,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
53,participant_009,5,Staking Contract - Token stake etme,Complementary,Öğretmen Zeynep - Practical,Completed,39,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
54,participant_009,6,Auction System - Açık artırma sistemi,Complementary,Öğretmen Zeynep - Practical,Completed,55,2025-10-31T11:18:36.683868,2025-10-31T11:18:36.683868
55,participant_010,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Burak - Blockchain Specialist,Completed,52,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
56,participant_010,2,Voting System - Basit oylama mekanizması,Similar,Burak - Blockchain Specialist,Completed,36,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
57,participant_010,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Burak - Blockchain Specialist,Completed,36,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
58,participant_010,4,NFT Minting - ERC721 benzeri NFT,Complementary,Burak - Blockchain Specialist,Completed,50,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
59,participant_010,5,Staking Contract - Token stake etme,Similar,Burak - Blockchain Specialist,Completed,48,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
60,participant_010,6,Auction System - Açık artırma sistemi,Complementary,Burak - Blockchain Specialist,Completed,44,2025-10-04T11:18:36.683974,2025-10-04T11:18:36.683974
61,participant_011,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,38,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
62,participant_011,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,55,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
63,participant_011,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,46,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
64,participant_011,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,51,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
65,participant_011,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,40,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
66,participant_011,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,35,2025-10-26T11:18:36.684134,2025-10-26T11:18:36.684134
67,participant_012,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Ali - Facilitator,Completed,47,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
68,participant_012,2,Voting System - Basit oylama mekanizması,Complementary,Ali - Facilitator,Completed,37,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
69,participant_012,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,47,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
70,participant_012,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,45,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
71,participant_012,5,Staking Contract - Token stake etme,Similar,Prof. Mehmet - Academic,Completed,41,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
72,participant_012,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,53,2025-08-17T11:18:36.684247,2025-08-17T11:18:36.684247
73,participant_013,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Ali - Facilitator,Completed,55,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
74,participant_013,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,53,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
75,participant_013,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Prof. Mehmet - Academic,Completed,52,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
76,participant_013,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,52,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
77,participant_013,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,52,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
78,participant_013,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,47,2025-10-20T11:18:36.684353,2025-10-20T11:18:36.684353
79,participant_014,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Deniz - DApp Architect,Completed,47,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
80,participant_014,2,Voting System - Basit oylama mekanizması,Complementary,Burak - Blockchain Specialist,Completed,39,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
81,participant_014,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Burak - Blockchain Specialist,Completed,44,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
82,participant_014,4,NFT Minting - ERC721 benzeri NFT,Complementary,Burak - Blockchain Specialist,Completed,51,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
83,participant_014,5,Staking Contract - Token stake etme,Similar,Deniz - DApp Architect,Completed,38,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
84,participant_014,6,Auction System - Açık artırma sistemi,Similar,Deniz - DApp Architect,Completed,53,2025-09-24T11:18:36.684462,2025-09-24T11:18:36.684462
85,participant_015,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Deniz - DApp Architect,Completed,35,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
86,participant_015,2,Voting System - Basit oylama mekanizması,Similar,Elif - Security Aware,Completed,53,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
87,participant_015,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Elif - Security Aware,Completed,44,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
88,participant_015,4,NFT Minting - ERC721 benzeri NFT,Similar,Elif - Security Aware,Completed,53,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
89,participant_015,5,Staking Contract - Token stake etme,Complementary,Deniz - DApp Architect,Completed,48,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
90,participant_015,6,Auction System - Açık artırma sistemi,Complementary,Deniz - DApp Architect,Completed,38,2025-10-15T11:18:36.684566,2025-10-15T11:18:36.684566
91,participant_016,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Mentor Fatma - Supportive,Completed,39,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
92,participant_016,2,Voting System - Basit oylama mekanizması,Similar,Ali - Facilitator,Completed,45,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
93,participant_016,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Ali - Facilitator,Completed,40,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
94,participant_016,4,NFT Minting - ERC721 benzeri NFT,Similar,Ali - Facilitator,Completed,44,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
95,participant_016,5,Staking Contract - Token stake etme,Complementary,Mentor Fatma - Supportive,Completed,46,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
96,participant_016,6,Auction System - Açık artırma sistemi,Complementary,Mentor Fatma - Supportive,Completed,38,2025-09-23T11:18:36.684675,2025-09-23T11:18:36.684675
97,participant_017,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Mentor Fatma - Supportive,Completed,46,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
98,participant_017,2,Voting System - Basit oylama mekanizması,Complementary,Mentor Fatma - Supportive,Completed,40,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
99,participant_017,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Öğretmen Zeynep - Practical,Completed,42,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
100,participant_017,4,NFT Minting - ERC721 benzeri NFT,Similar,Öğretmen Zeynep - Practical,Completed,44,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
101,participant_017,5,Staking Contract - Token stake etme,Similar,Öğretmen Zeynep - Practical,Completed,52,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
102,participant_017,6,Auction System - Açık artırma sistemi,Complementary,Mentor Fatma - Supportive,Completed,50,2025-11-05T11:18:36.684784,2025-11-05T11:18:36.684784
103,participant_018,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,44,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
104,participant_018,2,Voting System - Basit oylama mekanizması,Complementary,Ali - Facilitator,Completed,38,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
105,participant_018,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,51,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
106,participant_018,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,48,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
107,participant_018,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,40,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
108,participant_018,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,55,2025-10-24T11:18:36.684891,2025-10-24T11:18:36.684891
109,participant_019,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,38,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
110,participant_019,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,49,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
111,participant_019,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Prof. Mehmet - Academic,Completed,52,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
112,participant_019,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,36,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
113,participant_019,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,42,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
114,participant_019,6,Auction System - Açık artırma sistemi,Complementary,Ali - Facilitator,Completed,50,2025-08-30T11:18:36.684995,2025-08-30T11:18:36.684995
115,participant_020,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,41,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
116,participant_020,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,35,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
117,participant_020,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,35,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
118,participant_020,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,43,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
119,participant_020,5,Staking Contract - Token stake etme,Similar,Prof. Mehmet - Academic,Completed,45,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
120,participant_020,6,Auction System - Açık artırma sistemi,Complementary,Ali - Facilitator,Completed,39,2025-09-29T11:18:36.685102,2025-09-29T11:18:36.685102
121,participant_021,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Can - Gas Optimizer,Completed,54,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
122,participant_021,2,Voting System - Basit oylama mekanizması,Complementary,Burak - Blockchain Specialist,Completed,39,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
123,participant_021,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Can - Gas Optimizer,Completed,35,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
124,participant_021,4,NFT Minting - ERC721 benzeri NFT,Similar,Can - Gas Optimizer,Completed,48,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
125,participant_021,5,Staking Contract - Token stake etme,Complementary,Burak - Blockchain Specialist,Completed,41,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
126,participant_021,6,Auction System - Açık artırma sistemi,Complementary,Burak - Blockchain Specialist,Completed,46,2025-10-12T11:18:36.685207,2025-10-12T11:18:36.685207
127,participant_022,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Ali - Facilitator,Completed,40,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
128,participant_022,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,43,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
129,participant_022,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Prof. Mehmet - Academic,Completed,52,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
130,participant_022,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,54,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
131,participant_022,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,50,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
132,participant_022,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,53,2025-08-24T11:18:36.685314,2025-08-24T11:18:36.685314
133,participant_023,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Dr. Ayşe - Beginner Friendly,Completed,47,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
134,participant_023,2,Voting System - Basit oylama mekanizması,Complementary,Öğretmen Zeynep - Practical,Completed,51,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
135,participant_023,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Dr. Ayşe - Beginner Friendly,Completed,42,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
136,participant_023,4,NFT Minting - ERC721 benzeri NFT,Complementary,Öğretmen Zeynep - Practical,Completed,38,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
137,participant_023,5,Staking Contract - Token stake etme,Complementary,Öğretmen Zeynep - Practical,Completed,36,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
138,participant_023,6,Auction System - Açık artırma sistemi,Similar,Dr. Ayşe - Beginner Friendly,Completed,46,2025-10-27T11:18:36.685419,2025-10-27T11:18:36.685419
139,participant_024,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Mentor Fatma - Supportive,Completed,41,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
140,participant_024,2,Voting System - Basit oylama mekanizması,Similar,Öğretmen Zeynep - Practical,Completed,49,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
141,participant_024,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Mentor Fatma - Supportive,Completed,49,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
142,participant_024,4,NFT Minting - ERC721 benzeri NFT,Similar,Öğretmen Zeynep - Practical,Completed,51,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
143,participant_024,5,Staking Contract - Token stake etme,Similar,Öğretmen Zeynep - Practical,Completed,54,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
144,participant_024,6,Auction System - Açık artırma sistemi,Complementary,Mentor Fatma - Supportive,Completed,42,2025-11-07T11:18:36.685526,2025-11-07T11:18:36.685526
145,participant_025,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Mentor Fatma - Supportive,Completed,35,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
146,participant_025,2,Voting System - Basit oylama mekanizması,Complementary,Mentor Fatma - Supportive,Completed,43,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
147,participant_025,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Öğretmen Zeynep - Practical,Completed,36,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
148,participant_025,4,NFT Minting - ERC721 benzeri NFT,Similar,Öğretmen Zeynep - Practical,Completed,51,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
149,participant_025,5,Staking Contract - Token stake etme,Complementary,Mentor Fatma - Supportive,Completed,46,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
150,participant_025,6,Auction System - Açık artırma sistemi,Similar,Öğretmen Zeynep - Practical,Completed,45,2025-10-30T11:18:36.685635,2025-10-30T11:18:36.685635
151,participant_026,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Burak - Blockchain Specialist,Completed,55,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
152,participant_026,2,Voting System - Basit oylama mekanizması,Similar,Deniz - DApp Architect,Completed,54,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
153,participant_026,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Burak - Blockchain Specialist,Completed,54,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
154,participant_026,4,NFT Minting - ERC721 benzeri NFT,Similar,Deniz - DApp Architect,Completed,50,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
155,participant_026,5,Staking Contract - Token stake etme,Similar,Deniz - DApp Architect,Completed,35,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
156,participant_026,6,Auction System - Açık artırma sistemi,Complementary,Burak - Blockchain Specialist,Completed,51,2025-09-29T11:18:36.685741,2025-09-29T11:18:36.685741
157,participant_027,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Ali - Facilitator,Completed,47,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
158,participant_027,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,41,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
159,participant_027,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Prof. Mehmet - Academic,Completed,49,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
160,participant_027,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,51,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
161,participant_027,5,Staking Contract - Token stake etme,Similar,Prof. Mehmet - Academic,Completed,49,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
162,participant_027,6,Auction System - Açık artırma sistemi,Complementary,Ali - Facilitator,Completed,37,2025-10-28T11:18:36.685847,2025-10-28T11:18:36.685847
163,participant_028,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,47,2025-08-24T11:18:36.685955,2025-08-24T11:18:36.685955
164,participant_028,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,42,2025-08-24T11:18:36.685955,2025-08-24T11:18:36.685955
165,participant_028,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,54,2025-08-24T11:18:36.685955,2025-08-24T11:18:36.685955
166,participant_028,4,NFT Minting - ERC721 benzeri NFT,Similar,Prof. Mehmet - Academic,Completed,41,2025-08-24T11:18:36.685955,2025-08-24T11:18:36.685955
167,participant_028,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,45,2025-08-24T11:18:36.685955,2025-08-24T11:18:36.685955
