code_understandability,explanation_quality,educational_value,perceived_code_quality,perceived_security,best_aspect,improvement_needed,session_id
10,8,10,9,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,47
9,10,10,10,10,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,48
9,8,7,9,9,Kod kalitesi iyiydi,,49
7,9,9,7,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,50
7,8,8,7,7,Güvenlik konusunda bilinçliydi,,51
8,10,8,9,10,Adım adım öğretiyordu,Daha fazla örnek olabilir,52
7,8,9,8,7,Örnekler gerçekçiydi,,53
6,7,9,7,6,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,54
6,8,7,8,8,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,55
9,7,7,9,9,Kod kalitesi iyiydi,,56
9,8,9,7,7,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,57
7,7,6,7,8,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,58
6,7,8,7,6,Kod kalitesi iyiydi,,59
6,8,8,8,7,Adım adım öğretiyordu,Görsel diyagramlar olabilir,60
10,10,10,9,8,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,61
8,8,9,10,8,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,62
6,8,6,8,7,Kod kalitesi iyiydi,,63
7,7,8,7,8,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,64
6,8,7,7,6,Örnekler gerçekçiydi,,65
9,10,8,10,8,Adım adım öğretiyordu,Daha fazla örnek olabilir,66
9,9,9,8,8,Açıklamalar çok netti,Daha detaylı güvenlik analizi,67
8,8,7,7,7,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,68
7,7,7,7,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,69
10,10,10,9,10,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,70
10,9,10,10,10,Güvenlik konusunda bilinçliydi,,71
8,9,8,9,9,Açıklamalar çok netti,Daha fazla örnek olabilir,72
8,6,8,6,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,73
8,9,7,9,8,Güvenlik konusunda bilinçliydi,,74
10,9,9,10,9,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,75
8,8,7,8,7,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,76
6,8,7,6,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,77
8,9,8,9,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,78
8,10,9,8,9,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,79
7,7,9,9,8,Adım adım öğretiyordu,Görsel diyagramlar olabilir,80
9,8,9,10,9,Adım adım öğretiyordu,,81
9,8,8,9,9,Açıklamalar çok netti,Daha detaylı güvenlik analizi,82
9,9,9,10,8,Adım adım öğretiyordu,,83
9,8,9,10,9,Adım adım öğretiyordu,Daha fazla örnek olabilir,84
8,7,6,6,6,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,85
9,7,7,7,7,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,86
9,10,10,10,8,Açıklamalar çok netti,Görsel diyagramlar olabilir,87
9,8,9,10,9,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,88
9,9,8,8,8,Kod kalitesi iyiydi,Daha fazla örnek olabilir,89
9,9,7,9,7,Güvenlik konusunda bilinçliydi,,90
7,9,7,9,9,Güvenlik konusunda bilinçliydi,,91
10,9,10,9,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,92
10,9,10,10,9,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,93
8,8,8,10,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,94
8,9,8,9,9,Güvenlik konusunda bilinçliydi,,95
10,9,9,10,9,Açıklamalar çok netti,,96
8,7,8,9,8,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,97
9,10,9,8,9,Örnekler gerçekçiydi,,98
10,10,10,10,10,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,99
10,10,10,9,10,Açıklamalar çok netti,Görsel diyagramlar olabilir,100
10,9,9,10,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,101
9,10,8,9,10,Açıklamalar çok netti,Daha fazla örnek olabilir,102
7,9,7,9,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,103
9,7,9,9,8,Örnekler gerçekçiydi,,104
7,7,9,7,9,Açıklamalar çok netti,Daha detaylı güvenlik analizi,105
8,8,8,8,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,106
9,9,9,9,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,107
8,8,9,8,7,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,108
8,9,7,7,7,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,109
7,8,9,9,9,Adım adım öğretiyordu,,110
10,8,9,10,9,Örnekler gerçekçiydi,,111
7,9,9,8,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,112
7,7,8,7,6,Kod kalitesi iyiydi,,113
6,8,7,7,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,114
8,8,8,8,8,Adım adım öğretiyordu,,115
9,9,9,10,8,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,116
9,9,7,7,7,Kod kalitesi iyiydi,,117
9,9,7,9,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,118
7,9,9,7,9,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,119
8,7,7,8,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,120
9,9,10,8,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,121
8,8,9,10,8,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,122
10,10,8,10,10,Güvenlik konusunda bilinçliydi,,123
10,9,10,10,10,Adım adım öğretiyordu,Daha fazla örnek olabilir,124
10,8,8,8,10,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,125
8,8,10,10,10,Kod kalitesi iyiydi,,126
9,8,9,7,8,Açıklamalar çok netti,Daha detaylı güvenlik analizi,127
10,8,8,10,8,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,128
10,8,10,9,9,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,129
8,7,9,7,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,130
9,7,8,9,8,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,131
9,8,8,9,9,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,132
7,9,8,8,8,Güvenlik konusunda bilinçliydi,,133
8,8,9,9,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,134
8,8,8,8,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,135
7,7,9,8,8,Açıklamalar çok netti,,136
7,9,9,7,7,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,137
10,8,8,10,9,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,138
8,8,8,10,10,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,139
8,10,8,10,9,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,140
10,9,10,8,10,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,141
9,9,10,8,8,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,142
9,10,10,9,10,Örnekler gerçekçiydi,,143
8,9,7,8,8,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,144
8,9,9,9,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,145
9,8,9,9,7,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,146
9,10,9,10,10,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,147
10,10,10,10,10,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,148
8,8,7,9,9,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,149
9,9,9,9,9,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,150
9,10,9,9,10,Kod kalitesi iyiydi,Daha fazla örnek olabilir,151
8,8,8,10,9,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,152
9,8,8,10,9,Adım adım öğretiyordu,,153
9,10,9,10,10,Kod kalitesi iyiydi,Daha fazla örnek olabilir,154
8,9,9,10,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,155
8,10,8,9,10,Adım adım öğretiyordu,Daha fazla örnek olabilir,156
7,7,8,8,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,157
7,8,9,7,7,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,158
9,8,10,10,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,159
7,9,9,8,8,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,160
9,7,8,9,8,Güvenlik konusunda bilinçliydi,,161
9,8,8,8,8,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,162
9,8,9,8,7,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,163
10,10,9,9,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,164
8,7,8,9,7,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,165
9,9,8,10,9,Açıklamalar çok netti,Daha detaylı güvenlik analizi,166
6,6,7,6,8,Açıklamalar çok netti,Görsel diyagramlar olabilir,167
8,9,9,8,8,Kod kalitesi iyiydi,Daha fazla örnek olabilir,168
9,9,8,8,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,169
7,7,7,9,9,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,170
9,7,9,9,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,171
6,7,8,7,6,Adım adım öğretiyordu,,172
7,9,7,9,7,Güvenlik konusunda bilinçliydi,,173
8,7,10,8,8,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,174
8,8,9,9,9,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,175
8,7,7,8,9,Örnekler gerçekçiydi,Daha fazla örnek olabilir,176
8,10,9,8,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,177
6,7,8,8,6,Güvenlik konusunda bilinçliydi,,178
6,6,9,6,8,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,179
8,9,9,8,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,180
10,8,10,9,8,Kod kalitesi iyiydi,,181
10,9,9,8,10,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,182
7,8,9,8,8,Kod kalitesi iyiydi,,183
10,10,8,8,8,Adım adım öğretiyordu,Görsel diyagramlar olabilir,184
10,10,9,10,10,Örnekler gerçekçiydi,Daha fazla örnek olabilir,185
10,8,8,10,10,Örnekler gerçekçiydi,,186
9,8,7,7,7,Adım adım öğretiyordu,,187
8,8,8,7,9,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,188
8,7,8,6,7,Güvenlik konusunda bilinçliydi,,189
7,8,7,7,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,190
7,7,7,7,7,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,191
9,8,8,10,8,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,192
9,8,8,8,7,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,193
9,9,9,10,10,Kod kalitesi iyiydi,Daha fazla örnek olabilir,194
9,9,8,9,10,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,195
7,7,8,7,8,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,196
7,8,9,8,6,Adım adım öğretiyordu,,197
6,7,8,6,7,Adım adım öğretiyordu,Görsel diyagramlar olabilir,198
7,7,8,6,6,Açıklamalar çok netti,,199
10,9,9,8,9,Kod kalitesi iyiydi,,200
6,8,6,6,7,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,201
8,7,7,8,8,Adım adım öğretiyordu,Görsel diyagramlar olabilir,202
8,8,9,9,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,203
9,7,8,7,7,Açıklamalar çok netti,Görsel diyagramlar olabilir,204
9,9,9,9,10,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,205
8,7,6,8,7,Adım adım öğretiyordu,,206
9,8,8,7,7,Kod kalitesi iyiydi,Daha fazla örnek olabilir,207
7,7,9,7,7,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,208
8,9,9,9,9,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,209
10,8,9,9,9,Kod kalitesi iyiydi,,210
8,10,10,10,10,Açıklamalar çok netti,Daha fazla örnek olabilir,211
8,8,9,9,9,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,212
9,10,9,10,10,Kod kalitesi iyiydi,,213
9,9,10,10,10,Kod kalitesi iyiydi,,214
10,9,10,10,10,Örnekler gerçekçiydi,,215
9,10,9,10,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,216
10,9,10,9,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,217
9,9,7,7,9,Örnekler gerçekçiydi,,218
10,9,9,9,8,Açıklamalar çok netti,Daha fazla örnek olabilir,219
10,10,9,8,9,Açıklamalar çok netti,Daha detaylı güvenlik analizi,220
9,9,10,10,10,Kod kalitesi iyiydi,Daha fazla örnek olabilir,221
10,10,10,10,10,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,222
7,7,8,7,7,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,223
7,8,9,8,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,224
8,10,8,8,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,225
8,9,8,7,7,Açıklamalar çok netti,,226
9,9,8,8,8,Güvenlik konusunda bilinçliydi,,227
7,7,9,7,8,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,228
8,9,7,7,7,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,229
6,8,8,6,8,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,230
6,6,7,6,7,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,231
8,9,10,8,9,Açıklamalar çok netti,Daha detaylı güvenlik analizi,232
10,10,8,9,10,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,233
7,8,8,9,8,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,234
6,8,7,7,8,Açıklamalar çok netti,Görsel diyagramlar olabilir,235
9,8,8,9,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,236
9,8,8,8,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,237
7,7,9,7,7,Adım adım öğretiyordu,Daha fazla örnek olabilir,238
7,7,7,8,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,239
7,6,7,6,6,Adım adım öğretiyordu,,240
8,8,7,8,7,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,241
6,6,8,6,6,Kod kalitesi iyiydi,Daha fazla örnek olabilir,242
9,10,10,10,9,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,243
8,8,9,8,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,244
8,9,8,9,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,245
8,9,7,9,8,Adım adım öğretiyordu,Daha fazla örnek olabilir,246
8,10,8,9,10,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,247
9,10,10,10,9,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,248
9,8,9,10,10,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,249
10,9,8,10,10,Açıklamalar çok netti,Daha detaylı güvenlik analizi,250
9,10,8,10,10,Örnekler gerçekçiydi,,251
8,7,9,7,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,252
10,9,9,9,10,Adım adım öğretiyordu,,253
9,10,10,10,8,Açıklamalar çok netti,,254
9,7,7,9,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,255
10,10,10,8,10,Açıklamalar çok netti,Daha fazla örnek olabilir,256
10,10,10,9,10,Adım adım öğretiyordu,,257
8,7,7,7,9,Adım adım öğretiyordu,,258
9,7,7,7,9,Açıklamalar çok netti,Daha fazla örnek olabilir,259
7,9,9,7,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,260
8,9,8,10,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,261
6,7,8,7,6,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,262
8,9,7,9,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,263
6,7,6,7,6,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,264
8,7,6,8,7,Açıklamalar çok netti,Daha fazla örnek olabilir,265
9,10,10,8,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,266
8,7,8,8,8,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,267
8,9,8,8,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,268
7,8,7,8,7,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,269
8,8,8,10,8,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,270
7,9,10,7,8,Açıklamalar çok netti,Daha fazla örnek olabilir,271
7,9,8,9,8,Kod kalitesi iyiydi,Daha fazla örnek olabilir,272
6,7,8,6,6,Adım adım öğretiyordu,,273
10,8,8,8,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,274
10,10,9,10,10,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,275
6,6,9,8,7,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,276
7,9,9,7,9,Kod kalitesi iyiydi,,277
7,8,8,7,8,Kod kalitesi iyiydi,Daha fazla örnek olabilir,278
8,10,9,10,9,Adım adım öğretiyordu,Daha fazla örnek olabilir,279
7,7,8,7,6,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,280
9,8,8,9,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,281
7,8,7,8,8,Açıklamalar çok netti,Görsel diyagramlar olabilir,282
10,10,8,8,8,Açıklamalar çok netti,Daha fazla örnek olabilir,283
8,10,9,9,10,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,284
9,10,8,9,8,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,285
8,6,8,7,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,286
8,9,8,7,7,Adım adım öğretiyordu,Daha fazla örnek olabilir,287
8,8,6,7,7,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,288
8,9,8,8,8,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,289
9,8,8,8,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,290
9,9,9,8,10,Adım adım öğretiyordu,Görsel diyagramlar olabilir,291
7,7,8,8,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,292
7,6,6,6,8,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,293
6,7,6,8,6,Kod kalitesi iyiydi,Daha fazla örnek olabilir,294
9,8,8,10,10,Adım adım öğretiyordu,Görsel diyagramlar olabilir,295
8,7,7,8,7,Kod kalitesi iyiydi,Daha fazla örnek olabilir,296
9,8,9,9,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,297
10,9,9,9,10,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,298
7,7,8,9,7,Açıklamalar çok netti,Görsel diyagramlar olabilir,299
8,9,9,10,9,Kod kalitesi iyiydi,,300
8,8,8,9,10,Açıklamalar çok netti,Daha detaylı güvenlik analizi,301
7,7,7,9,7,Örnekler gerçekçiydi,Daha fazla örnek olabilir,302
9,9,9,10,8,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,303
9,9,8,9,7,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,304
6,6,8,6,6,Açıklamalar çok netti,Daha fazla örnek olabilir,305
7,7,7,8,7,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,306
9,10,10,9,10,Örnekler gerçekçiydi,,307
8,9,10,10,10,Açıklamalar çok netti,,308
10,9,9,10,9,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,309
10,8,8,9,10,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,310
8,9,7,7,7,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,311
9,8,8,9,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,312
8,9,9,7,8,Açıklamalar çok netti,,313
9,8,8,7,9,Adım adım öğretiyordu,,314
7,8,7,8,7,Örnekler gerçekçiydi,Daha fazla örnek olabilir,315
7,6,7,6,7,Adım adım öğretiyordu,Daha fazla örnek olabilir,316
8,9,7,9,8,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,317
9,7,7,9,8,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,318
9,8,8,9,9,Örnekler gerçekçiydi,Daha fazla örnek olabilir,319
9,9,9,8,8,Adım adım öğretiyordu,Daha fazla örnek olabilir,320
9,9,8,9,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,321
10,9,9,8,8,Açıklamalar çok netti,Daha detaylı güvenlik analizi,322
10,10,10,10,10,Adım adım öğretiyordu,Daha fazla örnek olabilir,323
10,9,9,10,10,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,324
8,8,8,7,7,Güvenlik konusunda bilinçliydi,,325
9,7,7,8,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,326
10,10,10,10,8,Açıklamalar çok netti,Görsel diyagramlar olabilir,327
9,8,9,9,7,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,328
6,8,7,8,6,Açıklamalar çok netti,Daha detaylı güvenlik analizi,329
10,10,10,9,10,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,330
10,10,10,10,9,Örnekler gerçekçiydi,,331
9,7,9,8,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,332
9,8,8,9,9,Açıklamalar çok netti,Daha fazla örnek olabilir,333
9,10,10,8,8,Açıklamalar çok netti,Gas optimizasyonu eklenebilir,334
8,8,9,8,8,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,335
9,10,10,10,10,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,336
7,9,8,7,7,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,337
10,8,9,10,9,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,338
7,6,6,6,7,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,339
7,8,9,9,8,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,340
8,8,7,7,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,341
8,6,8,7,7,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,342
8,7,7,6,7,Kod kalitesi iyiydi,Daha fazla örnek olabilir,343
8,8,7,8,9,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,344
8,9,9,8,7,Güvenlik konusunda bilinçliydi,,345
9,9,9,9,8,Kod kalitesi iyiydi,Görsel diyagramlar olabilir,346
10,8,9,8,10,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,347
6,7,8,6,6,Açıklamalar çok netti,Görsel diyagramlar olabilir,348
10,8,8,8,10,Adım adım öğretiyordu,Daha fazla örnek olabilir,349
8,9,9,9,9,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,350
8,8,6,8,6,Adım adım öğretiyordu,Daha fazla örnek olabilir,351
9,7,9,7,7,Örnekler gerçekçiydi,Daha detaylı güvenlik analizi,352
10,8,10,10,10,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,353
7,8,8,9,9,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,354
8,7,9,7,7,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,355
7,8,8,7,6,Açıklamalar çok netti,Daha fazla örnek olabilir,356
8,9,7,7,8,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,357
8,6,8,6,8,Kod kalitesi iyiydi,,358
