mental_demand,physical_demand,temporal_demand,performance,effort,frustration,total_cognitive_load,session_id
4,1,6,8,6,3,22,143
7,1,6,5,6,5,30,144
6,3,5,6,6,4,28,145
6,2,6,6,4,4,26,146
4,3,5,8,6,4,24,147
5,2,4,7,4,5,23,148
6,1,5,4,5,7,30,149
7,3,4,5,5,3,27,150
4,1,3,8,3,5,18,151
3,1,5,8,5,3,19,152
6,2,5,4,5,3,27,153
5,1,5,7,4,5,23,154
3,3,4,8,4,2,18,155
5,1,4,6,5,3,22,156
7,1,7,4,7,5,33,157
7,3,6,5,6,4,31,158
8,1,5,2,7,6,35,159
6,3,5,5,6,4,29,160
5,1,5,5,7,4,27,161
6,2,6,4,7,8,35,162
7,2,7,5,6,4,31,163
5,2,7,5,6,7,32,164
6,3,6,6,6,6,31,165
7,2,7,5,5,7,33,166
7,3,7,3,6,4,34,167
7,2,6,5,5,7,32,168
6,3,6,4,7,8,36,169
9,1,8,2,8,6,40,170
6,3,6,5,8,5,33,171
8,1,6,4,6,7,34,172
7,3,7,5,7,8,37,173
10,1,7,2,7,6,39,174
7,2,6,3,8,5,35,175
8,2,8,2,8,6,40,176
9,3,8,3,6,8,41,177
8,2,6,4,8,5,35,178
9,1,6,2,6,7,37,179
9,2,9,3,9,9,45,180
8,2,7,4,5,7,35,181
4,3,5,6,5,5,26,182
8,3,6,2,7,7,39,183
5,3,7,6,6,5,30,184
5,2,4,5,5,5,26,185
7,2,5,3,4,4,29,186
5,1,5,7,5,5,24,187
7,3,7,3,6,4,34,188
7,1,7,5,7,6,33,189
8,2,8,4,7,8,39,190
8,3,8,2,6,8,41,191
7,2,7,4,7,6,35,192
7,2,7,5,8,7,36,193
8,2,8,4,7,6,37,194
8,2,7,3,6,6,36,195
9,1,6,1,7,7,39,196
7,1,7,4,7,7,35,197
9,2,6,2,7,7,39,198
7,2,5,3,6,6,33,199
5,1,7,5,5,6,29,200
8,3,6,4,7,6,36,201
7,3,7,4,5,6,34,202
6,3,6,5,5,7,32,203
6,2,8,6,6,8,34,204
7,3,5,4,7,5,33,205
9,2,6,2,7,6,38,206
5,2,7,6,6,7,31,207
8,2,5,2,5,4,32,208
6,2,6,4,8,8,36,209
7,2,7,4,5,5,32,210
5,2,5,6,5,3,24,211
6,2,4,4,4,6,28,212
4,1,5,7,5,4,22,213
7,3,5,5,5,4,29,214
4,3,4,7,5,3,22,215
7,1,5,5,6,6,30,216
4,3,5,6,4,6,26,217
5,1,7,5,7,6,31,218
7,1,5,4,4,6,29,219
8,1,5,2,5,5,32,220
6,3,4,4,6,6,31,221
6,2,4,6,6,5,27,222
8,1,9,4,8,7,39,223
8,1,8,2,8,7,40,224
9,1,6,1,6,7,38,225
8,3,6,2,6,8,39,226
6,1,8,6,6,6,31,227
6,1,8,6,6,8,33,228
6,1,6,4,5,6,30,229
8,3,6,3,7,7,38,230
9,2,7,3,7,5,37,231
8,2,6,3,5,5,33,232
7,1,6,4,6,7,33,233
6,2,7,4,6,6,33,234
6,1,7,5,7,6,32,235
9,2,7,3,6,5,36,236
8,2,7,2,6,4,35,237
6,3,6,4,6,6,33,238
5,1,6,5,5,6,28,239
7,2,5,3,6,6,33,240
8,1,6,3,6,5,33,241
7,2,8,3,6,8,38,242
5,2,6,6,5,7,29,243
5,3,7,7,6,7,31,244
8,1,6,4,7,4,32,245
8,3,5,2,7,6,37,246
4,1,4,7,4,3,19,247
4,3,4,8,5,4,22,248
5,3,4,7,6,3,24,249
4,3,4,8,6,6,25,250
5,3,7,5,6,7,33,251
8,3,5,3,6,7,36,252
6,2,5,4,3,2,24,253
6,2,3,4,3,2,22,254
4,3,6,8,6,3,24,255
7,1,6,4,6,5,31,256
6,3,3,6,3,2,21,257
5,1,5,5,4,6,26,258
7,2,6,3,7,4,33,259
8,1,8,4,8,5,36,260
6,2,7,6,5,7,31,261
7,3,7,3,7,8,39,262
8,1,5,2,5,5,32,263
6,3,7,6,5,5,30,264
6,2,6,6,6,6,30,265
6,2,7,6,6,6,31,266
7,1,6,3,8,6,35,267
7,2,5,5,7,6,32,268
7,2,6,5,8,8,36,269
6,3,5,6,5,7,30,270
9,1,6,1,6,7,38,271
7,2,6,4,7,8,36,272
7,3,9,4,9,7,41,273
9,2,6,3,6,5,35,274
7,3,6,3,7,8,38,275
6,2,8,5,6,7,34,276
6,1,7,5,5,4,28,277
6,1,6,5,8,5,31,278
6,2,6,6,7,6,31,279
5,2,6,5,6,6,30,280
5,1,5,6,6,4,25,281
7,3,7,5,7,6,35,282
8,2,6,4,7,7,36,283
8,3,7,4,6,4,34,284
8,1,7,3,7,5,35,285
8,1,6,4,6,7,34,286
8,3,5,2,7,7,38,287
6,1,6,5,6,6,30,288
7,2,5,3,5,6,32,289
5,3,7,6,7,7,33,290
5,1,6,5,6,6,29,291
5,2,5,5,5,6,28,292
7,3,8,5,6,5,34,293
7,1,7,4,6,7,34,294
5,3,5,6,5,7,29,295
6,2,6,4,5,7,32,296
9,2,7,2,6,7,39,297
7,3,7,5,6,5,33,298
7,2,6,3,6,4,32,299
7,1,7,5,6,7,33,300
8,1,6,4,5,7,33,301
7,3,5,4,7,5,33,302
6,1,7,6,7,5,30,303
6,1,7,6,8,6,32,304
7,3,7,4,7,7,37,305
6,3,7,5,6,6,33,306
5,2,5,6,3,3,22,307
4,2,3,8,5,2,18,308
3,2,4,9,3,5,18,309
4,2,3,8,4,5,20,310
4,3,3,7,5,3,21,311
4,3,5,6,6,5,27,312
9,1,7,1,7,5,38,313
8,3,6,2,7,5,37,314
7,2,7,4,6,6,34,315
9,2,7,1,8,7,42,316
7,2,6,4,5,4,30,317
6,3,6,4,6,6,33,318
5,2,3,5,4,4,23,319
6,2,3,6,5,2,22,320
3,1,3,9,4,3,15,321
5,2,6,6,5,6,28,322
4,2,3,8,4,4,19,323
5,3,3,7,3,3,20,324
7,2,6,3,5,6,33,325
5,3,6,6,5,4,27,326
8,2,7,2,6,7,38,327
6,2,7,6,8,7,34,328
6,3,5,6,6,6,30,329
6,2,7,4,5,7,33,330
7,3,5,3,4,5,31,331
8,1,7,4,6,6,34,332
6,3,5,6,4,5,27,333
7,1,4,3,4,3,26,334
5,2,5,7,5,5,25,335
6,1,4,6,6,4,25,336
6,2,7,6,7,5,31,337
5,2,5,6,5,7,28,338
6,3,8,5,6,6,34,339
6,1,7,4,8,8,36,340
6,3,7,6,6,7,33,341
8,1,5,2,7,4,33,342
7,3,7,3,7,7,38,343
9,2,8,1,7,7,42,344
6,3,6,6,6,7,32,345
7,3,7,5,6,5,33,346
8,1,6,4,5,5,31,347
8,3,7,2,7,6,39,348
7,3,6,4,6,6,34,349
5,1,7,6,5,4,26,350
6,3,6,5,7,8,35,351
8,1,5,4,6,6,32,352
7,3,5,5,6,4,30,353
9,2,6,1,6,8,40,354
2,2,2,9,3,2,12,355
3,3,4,9,5,5,21,356
5,3,3,5,3,4,23,357
5,2,4,6,4,1,20,358
5,3,3,5,4,4,24,359
3,1,3,7,3,3,16,360
5,2,2,6,4,3,20,361
3,1,3,7,3,4,17,362
2,2,3,9,3,2,13,363
5,3,4,7,4,3,22,364
5,3,4,5,5,4,26,365
2,3,2,9,4,2,14,366
5,1,2,6,2,2,16,367
5,1,4,6,3,1,18,368
4,3,4,7,3,3,20,369
2,1,3,10,4,4,14,370
4,2,4,8,3,2,17,371
6,2,3,4,4,2,23,372
7,2,6,5,8,8,36,373
8,2,7,2,6,7,38,374
8,1,8,4,7,6,36,375
8,2,6,4,6,5,33,376
5,1,6,6,6,4,26,377
6,1,6,4,7,5,31,378
6,3,6,4,6,7,34,379
6,1,7,4,8,5,33,380
8,3,6,4,8,8,39,381
7,3,6,4,7,5,34,382
9,2,6,2,8,5,38,383
6,2,6,6,6,8,32,384
6,2,4,5,4,5,26,385
4,3,4,8,4,3,20,386
2,2,2,9,3,2,12,387
3,2,2,7,2,4,16,388
4,3,2,7,4,4,20,389
2,2,3,8,3,4,16,390
3,1,3,9,3,2,13,391
5,3,6,5,6,3,28,392
4,3,6,7,4,3,23,393
6,1,3,6,4,5,23,394
7,1,5,5,4,5,27,395
6,1,3,5,4,5,24,396
7,2,6,5,4,4,28,397
6,2,3,5,4,4,24,398
3,3,5,9,3,5,20,399
3,3,5,9,3,2,17,400
3,3,4,9,3,5,19,401
3,1,4,7,5,3,19,402
6,3,4,4,4,5,28,403
4,1,4,8,4,2,17,404
5,2,3,7,4,5,22,405
7,2,6,5,4,3,27,406
7,1,6,4,6,6,32,407
6,2,5,5,3,4,25,408
6,3,7,4,8,6,36,409
7,2,6,4,6,6,33,410
8,3,7,3,7,6,38,411
7,2,7,4,7,9,38,412
9,1,7,2,6,6,37,413
8,2,8,4,7,7,38,414
5,3,3,5,5,4,25,415
6,1,4,4,4,5,26,416
4,1,5,8,5,4,21,417
3,1,5,8,4,5,20,418
5,2,4,5,5,5,26,419
5,2,4,6,3,3,21,420
9,3,7,3,6,6,38,421
6,2,6,4,7,8,35,422
9,3,6,2,8,6,40,423
8,3,8,3,6,8,40,424
9,2,8,1,8,5,41,425
6,2,8,5,6,6,33,426
4,1,2,6,4,4,19,427
2,1,2,10,2,2,9,428
3,2,5,8,5,2,19,429
3,2,2,9,2,1,11,430
4,2,4,8,4,4,20,431
4,1,2,7,4,2,16,432
6,1,4,4,4,2,23,433
6,1,3,4,5,4,25,434
6,3,5,5,3,4,26,435
3,3,3,9,4,5,19,436
4,3,4,8,5,4,22,437
3,2,3,7,4,4,19,438
5,1,4,7,2,2,17,439
4,3,4,7,2,1,17,440
5,1,3,5,3,2,19,441
4,2,3,7,3,4,19,442
3,1,3,9,3,3,14,443
4,1,3,8,4,5,19,444
8,1,8,2,9,6,40,445
6,3,7,4,6,6,34,446
6,3,6,6,7,5,31,447
10,3,8,0,9,6,46,448
6,2,7,4,6,6,33,449
7,3,9,5,7,7,38,450
6,3,4,5,5,3,26,451
7,3,5,5,7,4,31,452
7,1,5,3,6,5,31,453
4,3,4,7,5,5,24,454
7,3,5,4,7,5,33,455
7,2,5,3,5,6,32,456
3,1,4,8,4,4,18,457
3,3,3,8,4,5,20,458
6,3,4,4,4,5,28,459
4,1,5,7,4,3,20,460
4,1,3,6,3,4,19,461
5,3,3,7,3,2,19,462
5,1,4,7,6,6,25,463
4,3,4,8,4,3,20,464
6,2,3,4,5,2,24,465
3,2,3,7,4,3,18,466
5,3,5,5,5,6,29,467
4,2,3,8,3,2,16,468
8,2,7,2,7,6,38,469
4,3,4,7,5,6,25,470
7,3,5,5,4,4,28,471
4,1,5,8,4,5,21,472
6,3,6,6,6,5,30,473
6,2,4,4,4,5,27,474
4,3,6,8,5,3,23,475
5,3,5,6,5,5,27,476
4,1,4,7,4,2,18,477
5,3,5,7,3,4,23,478
6,2,3,6,3,5,23,479
6,1,5,4,5,5,28,480
7,2,6,5,6,4,30,481
9,3,8,1,8,6,43,482
6,2,6,4,8,5,33,483
6,1,5,4,5,7,30,484
6,2,6,5,5,4,28,485
7,2,7,4,5,4,31,486
6,1,6,6,7,4,28,487
7,2,6,4,5,5,31,488
5,3,7,6,6,4,29,489
5,3,6,5,6,6,31,490
8,1,5,2,6,7,35,491
7,1,5,4,7,4,30,492
3,1,4,7,3,2,16,493
4,3,4,8,4,5,22,494
6,3,4,6,5,5,27,495
6,1,4,6,3,5,23,496
5,3,4,7,5,3,23,497
6,3,4,4,4,3,26,498
5,2,6,6,5,6,28,499
5,2,5,5,6,4,27,500
6,3,6,5,4,3,27,501
4,2,4,6,5,5,24,502
7,1,5,5,4,6,28,503
8,1,7,3,6,5,34,504
5,3,5,6,6,6,29,505
5,1,5,7,4,5,23,506
5,2,7,7,5,7,29,507
7,1,5,4,6,4,29,508
5,1,4,5,4,3,22,509
6,2,6,4,6,3,29,510
6,1,5,6,3,4,23,511
2,2,2,9,4,4,15,512
4,1,3,7,3,3,17,513
5,2,3,5,5,4,24,514
4,3,3,8,5,4,21,515
3,2,2,9,2,3,13,516
5,3,3,5,5,2,23,517
6,1,5,6,3,4,23,518
3,3,3,9,4,4,18,519
6,3,5,5,3,4,26,520
6,1,5,5,4,6,27,521
5,2,3,5,3,5,23,522
5,3,5,6,6,5,28,523
5,3,6,7,4,4,25,524
6,3,5,5,5,6,30,525
4,2,4,6,5,4,23,526
6,3,6,5,6,6,32,527
7,1,4,3,4,4,27,528
4,2,5,7,4,3,21,529
4,1,5,6,6,5,25,530
6,1,5,6,5,5,26,531
6,3,6,6,5,5,29,532
6,2,7,4,6,5,32,533
6,1,5,4,5,5,28,534
6,1,5,5,5,6,28,535
8,1,6,3,8,7,37,536
6,1,7,4,8,5,33,537
7,1,6,3,6,8,35,538
6,1,6,5,6,5,29,539
7,3,7,3,7,5,36,540
5,1,6,5,6,3,26,541
7,3,5,4,4,5,30,542
6,2,6,5,5,4,28,543
7,1,4,3,5,6,30,544
6,1,4,6,6,5,26,545
8,2,6,4,6,7,35,546
4,2,6,7,6,5,26,547
8,2,5,4,7,5,33,548
7,3,6,3,6,7,36,549
7,1,5,5,5,6,29,550
4,1,4,7,5,5,22,551
6,1,5,5,4,3,24,552
9,2,7,3,7,7,39,553
7,2,6,4,6,8,35,554
10,2,9,1,9,8,47,555
7,3,6,4,6,7,35,556
9,1,6,3,8,5,36,557
8,3,8,2,7,8,42,558
2,2,3,8,3,3,15,559
4,3,2,7,4,4,20,560
5,2,5,6,5,2,23,561
2,2,4,9,2,4,15,562
2,2,4,8,3,2,15,563
5,2,4,5,4,3,23,564
7,1,8,3,7,8,38,565
8,1,7,3,7,4,34,566
5,2,7,7,6,7,30,567
8,2,7,4,5,6,34,568
5,2,6,6,7,5,29,569
6,2,7,6,6,7,32,570
5,2,5,5,7,6,30,571
6,3,7,4,5,5,32,572
7,3,7,3,7,5,36,573
5,2,5,6,7,6,29,574
5,2,5,6,7,7,30,575
8,2,5,4,6,7,34,576
9,1,8,2,7,7,40,577
8,2,6,3,6,8,37,578
6,1,6,5,7,4,29,579
6,3,6,5,5,6,31,580
6,3,6,6,7,7,33,581
8,3,7,2,7,5,38,582
8,1,7,2,6,6,36,583
9,1,7,1,7,7,40,584
7,2,6,3,6,4,32,585
8,1,5,3,6,4,31,586
6,3,6,5,7,7,34,587
8,2,7,4,5,4,32,588
6,2,7,6,7,8,34,589
6,1,8,6,8,5,32,590
8,1,7,2,6,5,35,591
7,3,7,5,7,9,38,592
9,2,7,2,6,6,38,593
6,2,6,5,6,5,30,594
5,2,5,5,5,4,26,595
3,1,5,7,4,2,18,596
5,2,3,5,4,2,21,597
4,3,3,8,3,5,20,598
6,2,3,6,4,5,24,599
7,1,6,4,5,6,31,600
8,1,8,4,9,8,40,601
10,3,7,1,8,8,45,602
7,1,7,3,7,7,36,603
8,1,8,4,7,8,38,604
9,1,8,3,8,5,38,605
8,3,7,2,6,6,38,606
7,3,6,4,8,7,37,607
7,2,8,3,6,5,35,608
8,2,7,2,7,5,37,609
7,2,8,5,6,6,34,610
9,2,7,2,6,5,37,611
7,1,8,4,7,6,35,612
8,1,5,2,6,6,34,613
5,1,7,6,7,4,28,614
6,2,6,5,7,5,31,615
6,2,5,6,5,5,27,616
8,3,5,4,7,7,36,617
6,2,5,4,5,5,29,618
4,1,4,6,5,6,24,619
7,1,7,4,5,7,33,620
6,2,4,5,4,5,26,621
6,3,6,4,6,4,31,622
6,3,6,6,4,4,27,623
4,1,6,6,5,6,26,624
7,1,7,5,5,5,30,625
7,1,5,5,6,5,29,626
5,3,5,6,5,7,29,627
6,2,7,4,5,5,31,628
5,2,7,6,5,5,28,629
7,2,7,5,6,4,31,630
6,2,5,4,5,3,27,631
7,3,6,5,5,5,31,632
7,1,5,5,6,6,30,633
6,1,6,4,6,4,29,634
6,3,5,4,4,5,29,635
6,3,6,6,4,3,26,636
6,1,4,5,6,3,25,637
5,2,6,6,6,4,27,638
5,3,5,7,5,3,24,639
6,2,6,5,5,4,28,640
4,2,5,7,4,6,24,641
6,1,7,5,7,5,31,642
4,1,5,6,3,4,21,643
6,1,5,5,5,4,26,644
3,1,4,7,5,3,19,645
5,1,5,5,4,6,26,646
7,2,5,5,6,6,31,647
7,1,6,5,4,4,27,648
7,1,5,3,5,5,30,649
5,2,6,6,6,6,29,650
6,1,5,6,6,4,26,651
5,1,5,7,5,4,23,652
8,2,6,3,7,6,36,653
7,1,7,5,7,5,32,654
7,3,7,4,7,7,37,655
9,2,7,1,8,6,41,656
7,1,6,5,8,8,35,657
7,1,8,3,6,5,34,658
9,2,7,3,8,5,38,659
9,1,6,3,7,5,35,660
6,3,5,4,3,3,26,661
4,2,2,6,2,2,16,662
5,3,4,7,3,1,19,663
2,3,3,10,3,4,15,664
5,2,4,7,5,5,24,665
3,1,3,8,3,1,13,666
6,2,4,6,5,3,24,667
5,3,5,5,4,5,27,668
7,3,7,5,5,5,32,669
7,2,6,3,4,6,32,670
5,3,5,5,5,3,26,671
4,3,6,8,6,3,24,672
6,2,7,6,8,5,32,673
8,3,7,2,5,6,37,674
8,2,6,3,7,6,36,675
6,3,6,6,6,6,31,676
6,3,6,4,5,7,33,677
8,2,7,4,7,8,38,678
5,1,4,6,6,5,25,679
5,3,6,5,5,3,27,680
7,2,6,3,6,4,32,681
4,1,6,7,5,3,22,682
5,1,6,7,7,7,29,683
5,1,6,5,6,7,30,684
8,1,6,3,7,8,37,685
10,1,9,0,7,6,43,686
9,2,7,3,7,8,40,687
6,2,8,4,7,8,37,688
8,1,8,4,8,8,39,689
8,3,8,3,6,5,37,690
10,1,8,2,8,7,42,691
9,2,8,1,7,6,41,692
8,3,6,3,6,7,37,693
6,3,8,4,6,7,36,694
9,1,6,1,8,5,38,695
9,1,8,1,6,5,38,696
7,3,7,5,5,4,31,697
7,2,5,4,5,4,29,698
7,1,8,5,6,5,32,699
8,3,5,2,6,4,34,700
7,1,7,4,7,6,34,701
6,2,7,6,5,5,29,702
7,2,4,4,5,3,27,703
6,3,4,4,6,4,29,704
5,2,4,6,5,3,23,705
5,1,5,5,5,6,27,706
4,3,4,8,4,4,21,707
6,3,5,4,6,6,32,708
6,3,8,4,6,6,35,709
7,2,5,4,5,4,29,710
8,3,7,2,7,7,40,711
8,3,7,3,7,8,40,712
8,1,6,3,7,7,36,713
5,2,6,6,7,7,31,714
8,1,7,3,8,6,37,715
8,2,7,4,5,4,32,716
5,2,5,5,6,7,30,717
6,1,8,4,6,8,35,718
5,3,6,5,6,5,30,719
7,3,6,4,6,7,35,720
5,3,6,6,6,6,30,721
4,2,5,8,6,6,25,722
3,3,3,8,3,2,16,723
5,2,4,7,4,3,21,724
6,3,3,6,4,5,25,725
5,2,3,5,4,2,21,726
3,1,4,8,3,2,15,727
5,1,3,7,5,2,19,728
4,1,2,8,4,4,17,729
3,2,3,9,3,4,16,730
4,1,4,8,3,1,15,731
3,2,4,7,2,4,18,732
8,2,5,4,6,7,34,733
7,2,7,3,7,8,38,734
6,2,8,4,8,6,36,735
8,1,7,2,8,6,38,736
5,2,5,6,6,5,27,737
7,1,5,4,7,6,32,738
6,1,5,6,5,3,24,739
4,1,5,8,4,6,22,740
5,3,5,5,5,5,28,741
4,3,6,7,4,4,24,742
4,1,4,6,4,6,23,743
5,1,5,7,6,3,23,744
9,2,6,1,6,5,37,745
7,2,6,4,6,7,34,746
6,1,6,5,6,5,29,747
7,1,7,5,5,6,31,748
6,2,7,4,7,4,32,749
7,2,5,5,5,4,28,750
6,2,4,5,3,5,25,751
5,1,5,7,3,2,19,752
4,2,4,8,3,3,18,753
4,3,5,7,4,3,22,754
4,3,3,7,4,3,20,755
3,2,5,7,3,3,19,756
4,2,2,8,4,1,15,757
3,3,3,7,4,3,19,758
5,2,4,6,4,1,20,759
5,3,3,6,3,2,20,760
6,1,4,6,3,5,23,761
5,2,4,6,3,2,20,762
8,3,6,4,7,5,35,763
7,2,7,4,6,5,33,764
6,2,7,5,7,8,35,765
8,2,9,3,8,6,40,766
6,3,7,6,6,8,34,767
6,1,8,4,7,7,35,768
4,1,5,6,5,3,22,769
5,1,4,6,4,4,22,770
4,1,3,7,5,4,20,771
6,2,4,6,3,3,22,772
3,3,4,7,4,3,20,773
6,3,5,5,5,6,30,774
9,1,8,2,8,8,42,775
9,3,8,3,8,7,42,776
9,2,7,2,8,7,41,777
7,1,6,4,8,5,33,778
8,3,7,4,9,8,41,779
10,3,9,2,8,8,46,780
6,3,6,4,6,6,33,781
6,3,5,5,4,6,29,782
6,2,6,5,7,4,30,783
6,3,5,5,5,7,31,784
6,2,6,6,6,4,28,785
4,2,5,7,5,3,22,786
10,3,7,1,7,8,44,787
10,2,7,0,8,8,45,788
6,1,8,5,8,5,33,789
7,2,7,4,8,8,38,790
8,2,8,2,7,6,39,791
6,1,6,5,6,6,30,792
8,3,6,2,8,8,41,793
10,2,9,0,7,8,46,794
8,1,7,2,8,7,39,795
7,2,7,3,8,7,38,796
6,3,8,4,7,5,35,797
8,3,8,3,7,9,42,798
4,1,6,6,5,3,23,799
4,3,5,6,4,5,25,800
7,3,6,5,4,3,28,801
6,2,5,5,7,6,31,802
4,3,6,7,6,6,28,803
6,2,6,6,5,7,30,804
7,1,5,5,6,5,29,805
7,2,5,4,7,7,34,806
7,3,6,4,6,7,35,807
6,3,5,6,7,4,29,808
8,2,6,2,6,8,38,809
6,3,8,5,6,5,33,810
7,2,6,3,5,4,31,811
4,3,4,6,5,4,24,812
3,3,4,7,5,2,20,813
6,1,3,6,3,5,22,814
5,3,4,7,4,5,24,815
6,3,4,4,5,4,28,816
4,1,4,7,5,3,20,817
6,2,6,5,4,5,28,818
7,1,7,5,6,4,30,819
7,2,4,4,4,5,28,820
4,3,4,8,4,6,23,821
7,1,6,3,4,6,31,822
7,1,7,4,6,4,31,823
5,2,6,6,5,4,26,824
6,3,4,6,6,3,26,825
6,1,6,6,7,6,30,826
5,1,5,5,5,6,27,827
7,1,5,3,5,4,29,828
6,3,8,4,8,7,38,829
7,2,8,3,7,5,36,830
8,1,7,4,7,5,34,831
8,1,6,4,8,5,34,832
9,3,8,3,7,9,43,833
8,3,6,2,6,7,38,834
6,2,6,4,5,6,31,835
6,2,6,6,4,6,28,836
6,2,7,4,7,7,35,837
4,1,4,6,4,3,20,838
5,3,5,5,5,5,28,839
7,2,5,4,4,4,28,840
8,2,5,3,6,6,34,841
6,1,6,6,6,4,27,842
6,2,6,4,5,7,32,843
7,1,6,3,7,6,34,844
7,3,7,4,6,6,35,845
6,1,8,6,8,6,33,846
7,1,8,5,9,6,36,847
7,3,6,5,6,6,33,848
9,3,8,3,8,6,41,849
6,2,8,5,8,8,37,850
6,2,8,4,6,5,33,851
9,3,8,1,7,5,41,852
5,3,5,5,5,5,28,853
8,3,5,4,6,6,34,854
7,3,4,3,4,4,29,855
7,1,5,5,6,3,27,856
8,2,5,2,5,5,33,857
6,2,6,5,4,4,27,858
8,1,7,2,6,4,34,859
6,3,6,6,7,5,31,860
5,2,5,5,5,4,26,861
6,2,6,4,6,7,33,862
6,3,5,5,7,4,30,863
7,1,6,4,6,7,33,864
5,1,7,5,5,7,30,865
9,3,8,3,8,7,42,866
6,2,7,4,6,7,34,867
6,2,7,5,5,6,31,868
7,1,6,3,7,8,36,869
